	158.14
	152.42
	140.38
	142.75
	122.38
	130.47
	144.87
	139.58
	163.26
	125.59
	126.37
	114.82
	118.39
	126.65
	127.19
	160.67
	131.33
	150.49
	139.68
	136.24
	144.43
	149.23
	164.76
	118.1
	144.1
	124.98
	114.28
	140.77
	128.54
	160.81
	126.59
	126.99
	123.95
	114.57
	160.04
	141.61
	111.49
	144.22
	149.57
	177.24
	144.6
	127.59
	132.06
	138.32
	129.42
	132.79
	138.53
	144.64
	129.96
	130.87
	138.48
	147.99
	159.26
	166.25
	137.66
	134.66
	149.79
	144.37
	125.88
	135.48
	122.2
	114.96
	125.39
	123.09
	145.98
	142.32
	165.19
	158.29
	124.09
	151.1
	108.29
	146.9
	137.01
	134.93
	131.17
	134.78
	130.75
	140.42
	132.5
	130.84
	128.22
	161.14
	125.92
	153.02
	155.52
	121.36
	149.08
	132.85
	124.58
	124.57
	137
	128.58
	148.67
	118.49
	142.92
	111.36
	137.94
	140.55
	152.33
	159.72

Sum	13760.56
No of fitness function evaluations	100

Average time for each evaluation	137.6056
